,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Age,prop_GFAParking,prop_Use1,prop_Use2,prop_Use3
1047,NonResidential,Distribution Center,98134.0,1824049109,2,GREATER DUWAMISH,47.5678,-122.33622,1.0,1,35579,Distribution Center,72.0,1096646.25,39.05,18,0.0,0.0,0.0,0.0
1049,NonResidential,Distribution Center,98134.0,1327300065,2,GREATER DUWAMISH,47.57382,-122.32672,1.0,1,49950,Distribution Center,77.0,238969.7031,1.67,41,0.0,0.0,0.0,0.0
1054,NonResidential,Worship Facility,98199.0,1370802570,7,MAGNOLIA / QUEEN ANNE,47.63927,-122.4032,1.0,2,22612,Worship Facility,87.0,731321.8125,31.6,69,0.0,0.0,0.0,0.0
1058,NonResidential,Other,98125.0,1453600005,5,NORTH,47.72599,-122.29314,1.0,2,38787,Automobile Dealership,,3204685.5,67.52,40,0.0,0.0,0.0,0.0
1059,NonResidential,Self-Storage Facility,98125.0,1453600301,5,NORTH,47.72356,-122.29378,2.0,2,50368,Self-Storage Facility,,753275.1875,28.58,28,0.0,0.0,0.0,0.0
1060,NonResidential,Warehouse,98134.0,1722802630,2,GREATER DUWAMISH,47.55302,-122.33605,1.0,1,30545,Non-Refrigerated Warehouse,12.0,1577040.875,61.53,78,0.0,0.0,0.0,0.0
1071,NonResidential,K-12 School,98112.0,1731800825,7,MAGNOLIA / QUEEN ANNE,47.63111,-122.35814,1.0,3,32691,K-12 School,99.0,971990.3125,29.82,94,0.0,0.0,0.0,0.0
1073,NonResidential,Worship Facility,98119.0,1731801135,7,MAGNOLIA / QUEEN ANNE,47.63159,-122.35839,1.0,2,24227,Worship Facility,55.0,1086678.125,47.59,53,0.0,0.0,0.0,0.0
1081,NonResidential,Distribution Center,98108.0,1753700330,2,GREATER DUWAMISH,47.54365,-122.30785,1.0,1,27000,Distribution Center,61.0,651293.3125,18.85,60,0.0,0.0,0.0,0.0
1093,NonResidential,Small- and Mid-Sized Office,98104.0,1959700023,4,LAKE UNION,47.64243,-122.32618,1.0,2,21183,Office,99.0,361542.0938,2.52,59,0.0,0.0,0.0,0.0
1094,NonResidential,Small- and Mid-Sized Office,98102.0,1959700075,4,LAKE UNION,47.64428,-122.32627,1.0,3,29392,Office,91.0,755618.1875,6.18,55,0.13044365813826891,0.0,0.0,0.0
1096,NonResidential,Large Office,98102.0,1959701300,4,LAKE UNION,47.6465,-122.3252,1.0,5,137738,Office,62.0,4704936.5,32.8,31,0.40296795365113475,0.5648114536293543,0.40296795365113475,0.03222059271951096
1104,NonResidential,Residence Hall,98103.0,1825049055,4,LAKE UNION,47.65014,-122.34424,1.0,3,21118,Residence Hall/Dormitory,49.0,1361427.75,39.5,28,0.0,0.0,0.0,0.0
1105,NonResidential,Large Office,98103.0,1825049072,4,LAKE UNION,47.64868,-122.34254,1.0,5,206126,Office,98.0,4489661.0,72.26,3,0.38463852206902577,0.5557124322674196,0.3989108274004863,0.045376740332094066
1106,NonResidential,Small- and Mid-Sized Office,98103.0,1825049143,4,LAKE UNION,47.64866,-122.34509,1.0,2,20500,Office,48.0,1326178.125,11.27,116,0.0,0.0,0.0,0.0
1109,NonResidential,Senior Care Community,98117.0,1865400030,6,BALLARD,47.69875,-122.36725,1.0,2,34636,Senior Care Community,3.0,12148720.0,480.9,50,0.895022519921469,0.0,0.0,0.0
1110,NonResidential,Worship Facility,98115.0,1868903240,4,NORTHEAST,47.67485,-122.29284,1.0,2,25521,Worship Facility,82.0,605186.3125,15.47,86,0.0,0.0,0.0,0.0
1111,NonResidential,K-12 School,98115.0,1868903240,4,NORTHEAST,47.67485,-122.29284,1.0,1,23190,K-12 School,79.0,1705515.25,68.14,30,0.0,0.0,0.0,0.0
1115,NonResidential,Small- and Mid-Sized Office,98103.0,1646500985,6,NORTHWEST,47.68602,-122.35674,1.0,1,20678,Office,98.0,770333.0,32.63,56,0.0,0.0,0.0,0.0
1116,NonResidential,K-12 School,98103.0,1646501150,6,NORTHWEST,47.68642,-122.35707,1.0,3,28820,K-12 School,43.0,2595783.5,106.45,94,0.0,0.0,0.0,0.0
1119,NonResidential,Worship Facility,98178.0,1686400005,2,SOUTHEAST,47.51042,-122.26277,1.0,2,27876,Worship Facility,69.0,1829981.375,68.97,62,0.0,0.0,0.0,0.0
